CEG,lat_base,lon_base,lat_era5,lon_era5,cell_key
EOLCVBA050466-1-01,-11.083934191999958,-42.62663031499994,-11.0,-42.75,latm11p00_lonm42p75
EOLCVBA050467-0-01,-11.107349476999955,-42.62924124399996,-11.0,-42.75,latm11p00_lonm42p75
EOLCVBA038090-3-01,-11.526786654999968,-42.11847006399995,-11.5,-42.0,latm11p50_lonm42p00
EOLCVBA032642-9-01,-11.078762745999938,-41.26807906699997,-11.0,-41.25,latm11p00_lonm41p25
EOLCVBA033548-7-01,-11.130735093999933,-41.287331896999945,-11.25,-41.25,latm11p25_lonm41p25
EOLCVBA033549-5-01,-11.12647376299998,-41.30334018299993,-11.25,-41.25,latm11p25_lonm41p25
EOLCVBA044360-3-01,-9.050934880999932,-41.70704189999998,-9.0,-41.75,latm9p00_lonm41p75
EOLCVRN032197-4-01,-5.344091888999969,-36.29584144499995,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072301-0-01,-5.31188334899997,-36.29533327199994,-5.25,-36.25,latm5p25_lonm36p25
EOLCVBA032567-8-01,-11.19013778699997,-38.781705218999946,-11.25,-38.75,latm11p25_lonm38p75
EOLCVRN033864-8-01,-6.10246000199993,-36.639705367999966,-6.0,-36.75,latm6p00_lonm36p75
EOLCVRN045012-0-01,-5.809231500999943,-36.149568562999946,-5.75,-36.25,latm5p75_lonm36p25
EOLCVBA034809-0-01,-10.898041564999971,-42.538647099999935,-11.0,-42.5,latm11p00_lonm42p50
EOLCVRN032194-0-01,-5.386859274999949,-36.11048834699994,-5.5,-36.0,latm5p50_lonm36p00
EOLCVPI038107-1-01,-8.890349534999928,-41.58322701699996,-9.0,-41.5,latm9p00_lonm41p50
