fase,config_key,L,H,W,modelo,horizonte,RMSE,MAE,MAPE,cutoff_date
Fase2,L12_H12_W48,12,12,48,CNN,4.0,2626.870303718414,2626.870303718414,38.710189283225624,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,5.0,4432.281119137022,4432.281119137022,54.194616691261466,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,6.0,3307.060166663041,3307.060166663041,42.04377030818291,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,7.0,2610.4640243476133,2610.4640243476133,41.01934743020438,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,8.0,2720.0637192482636,2720.0637192482636,45.11296074293283,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,9.0,2493.7761320741192,2493.7761320741192,39.71188278978598,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,10.0,2781.186985421976,2781.186985421976,43.853354093528324,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,11.0,1566.945790268438,1566.945790268438,35.39629773996621,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,12.0,1753.1349311333533,1753.1349311333533,36.10076541851715,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,1.0,224.9139785992361,224.9139785992361,6.7962571742507345,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,2.0,1135.8355213761424,1135.8355213761424,26.938392903308817,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,3.0,2795.6092147969857,2795.6092147969857,47.59033886059673,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,4.0,3708.584415046539,3708.584415046539,54.65058723152742,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,5.0,5101.563101558897,5101.563101558897,62.378095924813174,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,6.0,4788.852402991166,4788.852402991166,60.88229434129468,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,7.0,3285.6905868476133,3285.6905868476133,51.629473715400756,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,8.0,2947.6162094826386,2947.6162094826386,48.88697768461574,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,9.0,3194.3088469178692,3194.3088469178692,50.86744431131983,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,10.0,3253.400608468851,3253.400608468851,51.29915019706524,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,11.0,1336.414784409063,1336.414784409063,30.188750566113796,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,12.0,1764.5221381646033,1764.5221381646033,36.335252155679754,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,1.0,246.7491073382639,246.7491073382639,7.456052315786726,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,2.0,370.7244373917674,370.7244373917674,8.79240027747851,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,3.0,564.7159042501107,564.7159042501107,9.613296844560123,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,4.0,1623.770694343414,1623.770694343414,23.928273444491353,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,5.0,3060.950796871397,3060.950796871397,37.427015725833606,2019-03-01 00:00:00
